smiles,activity
CC1=CC=C(C=C1)CSC2=NC3=C(N2CC4=C(OC(=N4)C5=CC(=C(C=C5)OC)OC)C)C=NC=C3,0.0
C(NC(=O)NC1C(=O)NC(=O)N1CO)NC(=O)NC2C(=O)NC(=O)N2CO,0.0
C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)OC(F)F)Cl)[N+](=O)[O-],1.0
C1OC2=C(O1)C=C(C=C2)C(=O)NN=CC3=C(C=CC4=CC=CC=C43)O,1.0
CC(=O)OCC(=O)NCCCOC1=CC=CC(=C1)CN2CCCCC2.Cl,0.0
C1=CC=C2C(=C1)N=C(N2C(=O)C3=CC=CS3)N.Cl,0.0
C1C(=O)N(C(=S)N1C2=CC=CC=C2)C3=CC=CC=C3.[Na+],0.0
CCCN1C2=CC=CC=C2N=C1NC(=O)C3=CC=C(C=C3)F,0.0
CC(C)CC(=O)NC1=CC=CC=C1N2CCN(CC2)C3=CC=CC=C3,1.0
CC(=O)NN1C(NC2=CC=CC=C2C1=O)C3=CC=C(O3)[N+](=O)[O-],1.0
CC1=CSC(=N1)/C(=N\O)/C2=CSC(=N2)C,0.0
CC(C)(C)C1=CC=C(C=C1)OCCCC(=O)NNC(=O)C2=CC=CC=C2O,1.0
C1CCC(CC1)C(=O)NC2=CC=C(C=C2)C(=O)N/N=C/C3=C(C=C(C=C3)O)O,1.0
CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C.Cl,1.0
C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,0.0
CCOC(=O)C1(CCN(CC1)CC2=CC=NC=C2)CCOC3=CC=CC=C3,0.0
C1=CC=C(C=C1)C(=O)NCC(=O)N/N=C/C2=CC=C(O2)[N+](=O)[O-],1.0
CC1=CC(=CC(=C1)OCC(=O)NNC(=S)NC(=O)C2CC2)C,0.0
C1=C(SC(=C1)Br)C(=O)NC2=NN=C(S2)C(F)(F)F,1.0
COC1=C(C=CC(=C1)[N+](=O)[O-])NC(=S)NNC(=O)C2=CC3=C(C=C2)OCO3,0.0
C1COCCN1CCNC(=O)C2=CC=CC=C2OC3=CC=CC=C3,0.0
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,0.0
COC1=CC=C(C=C1)CNS(=O)(=O)C2=CC=C(S2)Br,0.0
C1CCC2(CC1)C3=C(CCCC3)N4C(=NC=N4)N2,0.0
C1=CC=NC(=C1)/C=N/NC2=NC(=O)NN=C2,1.0
CCOC1=CC=C(C=C1)CN2CCNC(=O)C2CC(=O)NCCC3=CCCCC3,0.0
C1=CC=C2C(=C1)C(=O)N(C(N2)C3=CC=C(O3)C4=CC(=CC=C4)[N+](=O)[O-])O,1.0
CC1=C(C=C(C=C1)S(=O)(=O)N2CCOCC2)C(=O)OC(C)C(=O)C3=CC=CC=C3,0.0
CS(=O)(=O)O.C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F,1.0
CC1CCCN(C1)C(=O)C2=CC3=C(C=C2)C(=O)N(C3=O)CCC4=CCCCC4,1.0
CN(C)CCC1=CNC2=C1C=C(C=C2)OC,0.0
CCCN1C2=C(C=C3C=C(C=CC3=N2)OC)C(=N1)NC(=O)C(C)(C)C,0.0
CC(C)C1=NC(=C(C2=C1COC(C2)(C)C)C#N)N3CCN(CC3)C(=O)C4=CC=CC=C4,0.0
