smiles,activity
Brc1cccc2nsnc12,0
C#CC(C)n1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,1
C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,0
C#CCNC(=N)Nc1nc(-c2ccc(CNC(C)=O)o2)cs1,0
C#CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3cc(C#N)nc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,1
C#CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,1
C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,1
C#CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,1
C/C(=C/CC[C@]1(C)C2C[C@@H]3[C@H](C2)C31C)CO,0
C/C(=C/Cc1c(C(=O)O)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2ccccc2c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)CO,0
C/C1=C\C=C\CC[C@H](C)CNC(=O)/C=C/C=C/[C@H](C)[C@@H](O[C@H]2C[C@H](O)[C@H](N)[C@@H](C)O2)C/C=C(\C)C1,1
C/C=C(\C(C)C)[C@H](O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@H](C)[C@@H](O[C@@H]5OC[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(O)CC3=CC[C@]12C,0
C/C=C(\C(C)C)[C@H](O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@H](C)[C@@H](O[C@@H]5OC[C@H](O)[C@H](O)[C@H]5O)CC[C@]4(O)CC3=CC[C@]12C,0
C/C=C(\C(C)C)[C@H](O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@H](C)[C@@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)CC[C@]4(O)CC3=CC[C@]12C,0
C/C=C(\C)[C@H](O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/Cc1oc(OC)c(C)c(=O)c1C,1
C/C=C(\C)[C@H](O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/Cc1oc(OC)c(CC)c(=O)c1C,1
C/C=C(\C)[C@H](O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/Cc1oc(OC)cc(=O)c1C,1
C/N=C(\N)Nc1nc(-c2ccc(CNC(C)=O)o2)cs1,0
C/N=C(\N)Nc1nc(-c2cccc(CNC(C)=O)c2)cs1,0
C/N=C(\N)Nc1nc(-c2cccc(CNC(C)=O)n2)cs1,0
C/N=c1\c(O)c(O)\c1=N/C/C=C\COc1csc(CN2CCCCC2)c1,0
C12=C(OCO2)C=C(C(C=C(C=C3C(OCCO3)=C4)C4=C5)=[N+]5CC6)C6=C1,0
C=C(C(C)C)[C@H](O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@H](C)[C@@H](O[C@@H]5OC[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(O)CC3=CC[C@]12C,0
C=C(C(C)C)[C@H](O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@H](C)[C@@H](O[C@@H]5OC[C@H](O)[C@H](O)[C@H]5O)CC[C@]4(O)CC3=CC[C@]12C,0
C=C(C(C)C)[C@H](O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@H](C)[C@@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)CC[C@]4(O)CC3=CC[C@]12C,0
C=C(C)[C@H]1Cc2c(ccc3c(=O)c4c(oc23)COc2cc(OC)c(OC)cc2-4)O1,0
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,1
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@]2(O)C3=O)O1,1
C=C(C/C=C(\C)CCC=C(C)C)CCC(C)(C)/C=C/CC/C(C)=C/CO[C@@H](COP(=O)(O)O[C@H]1O[C@H](C(N)=O)[C@@](C)(O)[C@H](OC(N)=O)[C@H]1O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@@H]3O[C@H](C(=O)NC4=C(O)CCC4=O)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2NC(C)=O)[C@H](O)[C@H]1NC(C)=O)C(=O)O,1
C=C(CC/C=C(\C)CO)[C@@H]1CC=C(C)CC1,0
C=C1C(=O)O[C@H]2/C=C(\C)[C@@H](O)CC/C(C)=C/[C@@H](O)[C@H]12,0
C=C1C(=O)O[C@H]2CC(=C)[C@@H](O)CC/C(C)=C/[C@@H](O)[C@H]12,0
C=C1C(=O)O[C@H]2C[C@@]3(C)[C@H](C(C)=CC[C@@H]3O)[C@@H](O)[C@H]12,0
C=C1C(=O)O[C@H]2C[C@@]3(C)[C@H](O)CC=C(C)[C@@H]3[C@@H](O)[C@H]12,0
C=C1C(=O)O[C@H]2C[C@@]3(C)[C@H](O)CCC(=C)[C@@H]3[C@@H](O)[C@H]12,0
C=C1CC/C=C(\C)C(=O)c2occ(C)c2C(=O)C1,0
C=C1CCC[C@]2(C)CC[C@@](O)(C(C)C)C(=O)[C@@H]12,0
C=C1[C@H]2CC[C@H](C2)[C@@]1(C)CC/C=C(/C)CO,0
C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,0
C=CC1=C(C)C(=O)C=C2[C@@]1(O)CC[C@H](C(=C)C)[C@@]2(C)CCC(=O)OC,0
C=CC1=C(C)C(=O)C=C2[C@]1(O)CC[C@H](C(=C)C)[C@@]2(C)CCC(=O)OC,0
C=CC1=C(C)C(=O)C=C2[C@]1(OO)CC[C@H](C(=C)C)[C@@]2(C)CCC(=O)OC,0
C=CC1=C(C)C(=O)C=C2[C@]13O[C@H]3C[C@H](C(=C)C)[C@@]2(C)CCC(=O)OC,0
C=CCNC(=N)Nc1nc(-c2ccc(CNC(C)=O)o2)cs1,1
C=CCNc1c(NC/C=C\COc2csc(CN3CCCCC3)c2)c(=O)c1=O,0
C=CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,1
C=CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,1
C=CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,1
C=C[C@]1(C)C(=O)c2occ(C)c2C(=O)[C@H]1C(=C)C,0
C=Cc1c(C)c(O)cc2c1CC[C@H](C(=C)C)[C@@]2(C)CCC(=O)O,0
C=Cc1c(C)c(O)cc2c1CC[C@H](C(=C)C)[C@@]2(C)CCC(=O)OC,0
CC#CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,1
CC#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,0
CC(=O)Cc1nc2ccccc2o1,0
CC(=O)N1NC(c2c(O)cccc2O)CC1c1ccc(C)cc1,0
CC(=O)N1NC(c2ccc(O)cc2)CC1c1ccc(Cl)cc1,0
CC(=O)N1NC(c2ccc(O)cc2)CC1c1ccccc1Cl,0
CC(=O)N1NC(c2ccc(O)cc2O)CC1c1ccc(C)cc1,0
CC(=O)N1NC(c2ccc(O)cc2O)CC1c1ccc(Cl)cc1,1
CC(=O)N1NC(c2ccccc2)CC1c1ccc(Cl)cc1,0
CC(=O)N1NC(c2ccccc2O)CC1c1ccc(Cl)cc1,0
CC(=O)NCC/N=C(\N)Nc1nc(-c2cccc(CNC(C)=O)n2)cs1,0
CC(=O)NCC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCO1,0
CC(=O)NCc1ccc(-c2csc(/N=C(\N)S)n2)o1,0
CC(=O)NCc1ccc(-c2csc(CN(C)C)n2)o1,0
CC(=O)NCc1ccc(-c2csc(N/C(N)=N/C(C)C)n2)o1,1
CC(=O)NCc1ccc(-c2csc(N=C(N)N)n2)cc1,0
CC(=O)NCc1ccc(-c2csc(N=C(N)N)n2)o1,0
CC(=O)NCc1ccc(-c2csc(NC(=N)NC3CCCCC3)n2)o1,1
CC(=O)NCc1ccc(-c2csc(NC(=N)NCC3CC3)n2)o1,1
CC(=O)NCc1ccc(-c2csc(NC(=N)NCC3CCCC3)n2)o1,1
CC(=O)NCc1ccc(-c2csc(NC(=N)NCC3CCCCC3)n2)o1,1
CC(=O)NCc1ccc(-c2csc(NC(=N)NCCC3=CCCCC3)n2)o1,1
CC(=O)NCc1ccc(-c2csc(NC(=N)NCCC3CCCCC3)n2)o1,1
CC(=O)NCc1ccc(-c2csc(NC(=N)NCCCC3CCCCC3)n2)o1,1
CC(=O)NCc1ccc(-c2csc(NC(=N)NCCCc3ccccc3)n2)o1,1
CC(=O)NCc1ccc(-c2csc(NC(=N)NCCN3CCCCC3)n2)o1,0
CC(=O)NCc1ccc(-c2csc(NC(=N)NCCNc3ccccc3)n2)o1,1
CC(=O)NCc1ccc(-c2csc(NC(=N)NCCO)n2)o1,0
CC(=O)NCc1ccc(-c2csc(NC(=N)NCCc3c[nH]cn3)n2)o1,0
CC(=O)NCc1ccc(-c2csc(NC(=N)NCCc3ccccc3)n2)o1,1
CC(=O)NCc1ccc(-c2csc(NC(=N)NCCc3ccccc3N)n2)o1,1
CC(=O)NCc1ccc(-c2csc(NC(=N)NCCc3ccccc3NC(C)=O)n2)o1,0
CC(=O)NCc1ccc(-c2csc(NC(=N)NCCc3ccccc3[N+](=O)[O-])n2)o1,1
CC(=O)NCc1ccc(-c2csc(NC(=N)NCCc3ccccn3)n2)o1,1
CC(=O)NCc1ccc(-c2csc(NC(=N)NCCc3ccco3)n2)o1,1
CC(=O)NCc1ccc(-c2csc(NC(=N)NCCc3cccs3)n2)o1,1
CC(=O)NCc1ccc(-c2csc(NC(=N)NCCc3ccncc3)n2)o1,1
CC(=O)NCc1ccc(-c2csc(NC(=N)NCc3ccccc3)n2)o1,1
CC(=O)NCc1ccc(-c2csc(NC(=N)NCc3ccccc3C)n2)o1,1
