smiles,activity
C#CC1=CC=C(C=C1)[C@H]2C[C@H](OC(=C2)C(=O)N3CCN(CC3)CC4=CC=CC=C4)OCCCCO,1
C#CCN1C2=CC=CC=C2C(C1=O)(CC(=O)/C=C/C=C/C3=CC=CC=C3)O,1
C#CCOC(=O)C1=CN(C(=O)C(=C1)Cl)CC2=C(C=C(C=C2)Cl)Cl,0
C#CCSC1=NN=NN1C2=CC(=CC=C2)Cl,0
C(C1C(=O)NC(=O)S1)C(=O)O,0
C(CC(=O)O)CN1C2C(NC(=O)N2)NC1=O,0
C(CC(=O)O)[C@@H](C(=O)O)N.Cl,0
C(CCC(=O)N(CCO)CCO)CCC(=O)N(CCO)CCO,0
C(CCO)CNC(=O)C(C(C(C(=O)NCCCCO)(F)F)(F)F)(F)F,0
C(CNC(=O)C(C(F)F)(F)F)CNC(=O)C(C(F)F)(F)F,0
C(CO)NC(=O)C1=NSN=C1N,0
C(NC(=O)NC1C(=O)NC(=O)N1CO)NC(=O)NC2C(=O)NC(=O)N2CO,0
C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,0
C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O,0
C([C@H]([C@H]1C(=C(C(=O)O1)O)O)O)O,0
C/C(=C(\C(=O)C)/C(=N)N1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3)/O,0
C/C(=C/C(=O)NCC1=CC=CC=C1)/C(=O)O,0
C/C(=C/C1=CC(=C(C=C1)OCC2=CC=CC=C2Cl)OC)/[N+](=O)[O-],1
C/C(=C/C1=CC=CC=C1)/C=N/N2C(=NNC2=S)C3=CC=NC=C3,1
C/C(=C/CN1C2=C(N=C1N3CCCC3)N(C(=O)N(C2=O)C)C)/Cl,0
C/C(=C/CN1C2=C(N=C1NCCCN3C=CN=C3)N(C(=O)NC2=O)C)/Cl,0
C/C(=C/CN1C2=C(N=C1NCCN(C)C)N(C(=O)N(C2=O)C)C)/Cl,0
C/C(=C/CN1C2=C(N=C1SCC3=CC=C(C=C3)Cl)N(C(=O)NC2=O)C)/Cl,0
C/C(=C\C1=CC=CC=C1)/C=C\2/C(=O)N(C(=O)S2)CCCC(=O)O,1
C/C(=C\C1=CC=CC=C1)/C=C\2/C(=O)N(C(=S)S2)C3=CC=C(C=C3)C(=O)O,1
C/C(=C\CN1C2=C(N=C1N3CCCCCC3)N(C(=O)N(C2=O)C)C)/Cl,0
C/C(=C\CN1C2=C(N=C1NC3=CC=CC=C3)N(C(=O)N(C2=O)C)C)/Cl,0
C/C(=C\CN1C2=CC=CC=C2C(=C1O)N=NC(=S)N)/Cl,1
C/C(=N/NC(=O)C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])/C=C/C2=CC=CC=C2,1
C/C(=N/NC(=O)C1=CC(=CC=C1)Br)/C=C/C2=CC=CC=C2,1
C/C(=N/NC(=O)C1=CC2=CC=CC=C2C=C1O)/C3C(=O)C4=CC=CC=C4C3=O,0
C/C(=N/NC1=CC=CC=C1)/C2=CN=NC(=N2)SC,0
C/C(=N\N1C(=CSC1=NCC=C)C2=CC3=C(C=C2)OCC(=O)N3)/C4=CC=CC=N4,1
C/C(=N\N=C(/N)\SC1CC(=O)N(C1=O)C2=CC=C(C=C2)Br)/C3=CC=CS3,1
C/C(=N\N=C/1\NC(=O)C(S1)CC(=O)O)/C2=CC=CC=N2,1
C/C(=N\NC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2)/C3=CC=CC=N3,1
C/C(=N\NC(=O)C1=C(C=CC(=C1)Cl)O)/C2=CC=C(S2)Br,1
C/C(=N\NC(=O)C1=C(C=CS1)N2C=CC=C2)/C3=CC=CS3,0
C/C(=N\NC(=O)C1=C(N(N=N1)C2=NON=C2N)C3=CC=CC=C3)/C4=CC=CC=C4O,1
C/C(=N\NC(=O)C1=C(N(N=N1)C2=NON=C2N)CN(C)C3=CC=CC=C3)/C4=CC=CC=C4O,1
C/C(=N\NC(=O)C1=C(N(N=N1)C2=NON=C2N)CN3CCC4=CC=CC=C43)/C5=CC=CC=C5O,1
C/C(=N\NC(=O)C1=C(N(N=N1)C2=NON=C2N)CN3CCCCC3)/C4=CC=CC=C4O.Cl,1
C/C(=N\NC(=O)C1=CC(=C(C=C1)Cl)Cl)/C2=CC=CC=N2,1
C/C(=N\NC(=O)C1=CC(=C(C=C1)Cl)Cl)/CN2N=C(N=N2)[N+](=O)[O-],0
C/C(=N\NC(=O)C1=CC(=C(C=C1)OC)OC)/C2=CC=CC=N2,1
C/C(=N\NC(=O)C1=CC(=CC=C1)Br)/C2=CC=CC=N2,1
C/C(=N\NC(=O)C1=CC(=CC=C1)F)/C2=CC=C(S2)Br,0
C/C(=N\NC(=O)C1=CC(=CC=C1)N2CCCC2=O)/C3=CC=CC=C3,1
C/C(=N\NC(=O)C1=CC(=NC2=CC=CC=C21)C3=CC=CS3)/C4=CC=CC=N4,1
C/C(=N\NC(=O)C1=CC(=NC2=CC=CC=C21)C3CC3)/C4=C(C=C(C=C4)O)O,1
C/C(=N\NC(=O)C1=CC2=CC=CC=C2C=C1O)/C3=CC4=CC=CC=C4O3,1
C/C(=N\NC(=O)C1=CC=C(C=C1)C2=CC=CC=C2)/C3C(=O)C4=CC=CC=C4C3=O,1
C/C(=N\NC(=O)C1=CC=C(C=C1)CN2CCC3=CC=CC=C3C2)/C4=CC=CC=C4O,1
