Ligand,Binding Energy (kcal/mol)
LY2510924,-15.62
pasireotide,-15.17
pralmorelin,-14.98
SM-164,-14.78
venetoclax,-14.56
BIBN4096,-14.14
GSK2193874,-13.81
alarelin,-13.8
golvatinib,-13.78
GSK1904529A,-13.76
caspofungin,-13.75
WIN-64338,-13.69
KN-62,-13.66
cobicistat,-13.65
acriflavine,-13.64
squalamine,-13.63
proglumetacin,-13.57
lypressin,-13.5
felypressin,-13.45
UNC0646,-13.44
examorelin,-13.44
navitoclax,-13.42
AZ505,-13.38
AZD5582,-13.37
UNC0631,-13.36
cromakalim,-13.34
thaliblastine,-13.34
DPC-681,-13.32
trodusquemine,-13.27
batefenterol,-13.27
GDC-0834,-13.25
U-75799E,-13.24
temoporfin,-13.23
vasopressin,-13.23
AM679,-13.21
aldoxorubicin,-13.17
desmopressin-acetate,-13.16
suramin,-13.15
retapamulin,-13.11
birinapant,-13.09
ABT-737,-13.09
m-THP,-13.04
SSR240612,-13.02
HM-30181,-12.97
THZ2,-12.95
indinavir,-12.93
adavivint,-12.83
saquinavir,-12.83
everolimus,-12.82
abamectin,-12.81
sufugolix,-12.79
digitoxin,-12.77
KPT-9274,-12.74
octreotide,-12.73
KB-SRC-4,-12.7
deltarasin,-12.69
eprinomectin,-12.67
hematoporphyrin,-12.66
EPZ005687,-12.65
lomitapide,-12.61
lapatinib,-12.59
lopinavir,-12.58
GW-583340,-12.56
amcasertib,-12.54
tabimorelin,-12.53
carfilzomib,-12.52
plerixafor,-12.52
UK-356618,-12.52
salinomycin,-12.51
GSK2190915,-12.5
dihydroergocristine,-12.48
candesartan-cilexetil,-12.47
LGD-6972,-12.46
vaniprevir,-12.44
HER2-Inhibitor-1,-12.42
montelukast,-12.41
AMG-548,-12.4
SR-140333,-12.4
ARQ-092,-12.39
beta-carotene,-12.39
HP-228,-12.38
ritonavir,-12.37
nanchangmycin,-12.37
manidipine,-12.33
PD-173212,-12.3
enzastaurin,-12.27
ASTX660,-12.27
belizatinib,-12.26
SB-743921,-12.26
UNC1215,-12.24
NDT-9513727,-12.23
masitinib,-12.23
CUR-61414,-12.21
lutein,-12.21
omeprazole-magnesium,-12.2
ibutamoren,-12.19
GSK1562590,-12.18
paritaprevir,-12.18
tilmicosin,-12.18
plicamycin,-12.17
XMD17-109,-12.17
simeprevir,-12.17
anamorelin,-12.16
AT-406,-12.15
azelnidipine,-12.15
quiflapon,-12.15
TG-100801,-12.15
alvespimycin,-12.14
soblidotin,-12.14
sultamicillin,-12.11
nelfinavir,-12.1
CaMKII-IN-1,-12.1
THZ1-R,-12.09
oxytocin,-12.08
piperaquine-phosphate,-12.07
entrectinib,-12.06
niguldipine-(S)-(+),-12.06
revefenacin,-12.05
astaxanthin,-12.04
TAK-220,-12.04
azalomycin-B,-12.04
MK-1775,-12.03
L-694247,-12.03
lasofoxifene,-12.03
