Protein,Ligand,Best Run,Binding Energy (kcal/mol)
model_01_psef_protein,LY2510924,23,-15.62
model_01_psef_protein,pasireotide,76,-15.17
model_01_psef_protein,pralmorelin,66,-14.98
model_01_psef_protein,SM-164,70,-14.78
model_01_psef_protein,venetoclax,62,-14.56
model_01_psef_protein,BIBN4096,72,-14.14
model_01_psef_protein,GSK2193874,43,-13.81
model_01_psef_protein,alarelin,17,-13.8
model_01_psef_protein,golvatinib,38,-13.78
model_01_psef_protein,GSK1904529A,73,-13.76
model_01_psef_protein,caspofungin,37,-13.75
model_01_psef_protein,WIN-64338,91,-13.69
model_01_psef_protein,KN-62,96,-13.66
model_01_psef_protein,cobicistat,19,-13.65
model_01_psef_protein,acriflavine,74,-13.64
model_01_psef_protein,squalamine,71,-13.63
model_01_psef_protein,proglumetacin,53,-13.57
model_01_psef_protein,lypressin,96,-13.5
model_01_psef_protein,felypressin,98,-13.45
model_01_psef_protein,UNC0646,67,-13.44
model_01_psef_protein,examorelin,90,-13.44
model_01_psef_protein,navitoclax,48,-13.42
model_01_psef_protein,AZ505,75,-13.38
model_01_psef_protein,AZD5582,67,-13.37
model_01_psef_protein,UNC0631,84,-13.36
model_01_psef_protein,cromakalim,1,-13.34
model_01_psef_protein,thaliblastine,28,-13.34
model_01_psef_protein,DPC-681,56,-13.32
model_01_psef_protein,trodusquemine,15,-13.27
model_01_psef_protein,batefenterol,55,-13.27
model_01_psef_protein,GDC-0834,91,-13.25
model_01_psef_protein,U-75799E,88,-13.24
model_01_psef_protein,temoporfin,36,-13.23
model_01_psef_protein,vasopressin,79,-13.23
model_01_psef_protein,AM679,39,-13.21
model_01_psef_protein,aldoxorubicin,19,-13.17
model_01_psef_protein,desmopressin-acetate,99,-13.16
model_01_psef_protein,suramin,54,-13.15
model_01_psef_protein,retapamulin,62,-13.11
model_01_psef_protein,birinapant,95,-13.09
model_01_psef_protein,ABT-737,97,-13.09
model_01_psef_protein,m-THP,56,-13.04
model_01_psef_protein,SSR240612,82,-13.02
model_01_psef_protein,HM-30181,20,-12.97
model_01_psef_protein,THZ2,95,-12.95
model_01_psef_protein,indinavir,55,-12.93
model_01_psef_protein,adavivint,39,-12.83
model_01_psef_protein,saquinavir,76,-12.83
model_01_psef_protein,everolimus,98,-12.82
model_01_psef_protein,abamectin,41,-12.81
model_01_psef_protein,sufugolix,96,-12.79
model_01_psef_protein,digitoxin,22,-12.77
model_01_psef_protein,KPT-9274,40,-12.74
model_01_psef_protein,octreotide,75,-12.73
model_01_psef_protein,KB-SRC-4,22,-12.7
model_01_psef_protein,deltarasin,4,-12.69
model_01_psef_protein,eprinomectin,92,-12.67
model_01_psef_protein,hematoporphyrin,28,-12.66
model_01_psef_protein,EPZ005687,23,-12.65
model_01_psef_protein,lomitapide,48,-12.61
model_01_psef_protein,lapatinib,45,-12.59
model_01_psef_protein,lopinavir,94,-12.58
model_01_psef_protein,GW-583340,41,-12.56
model_01_psef_protein,amcasertib,35,-12.54
model_01_psef_protein,tabimorelin,20,-12.53
model_01_psef_protein,carfilzomib,28,-12.52
model_01_psef_protein,plerixafor,19,-12.52
model_01_psef_protein,UK-356618,43,-12.52
model_01_psef_protein,salinomycin,63,-12.51
model_01_psef_protein,GSK2190915,56,-12.5
model_01_psef_protein,dihydroergocristine,46,-12.48
model_01_psef_protein,candesartan-cilexetil,26,-12.47
model_01_psef_protein,LGD-6972,5,-12.46
model_01_psef_protein,vaniprevir,42,-12.44
model_01_psef_protein,HER2-Inhibitor-1,57,-12.42
model_01_psef_protein,montelukast,31,-12.41
model_01_psef_protein,AMG-548,18,-12.4
model_01_psef_protein,SR-140333,55,-12.4
model_01_psef_protein,ARQ-092,32,-12.39
model_01_psef_protein,beta-carotene,37,-12.39
model_01_psef_protein,HP-228,4,-12.38
model_01_psef_protein,ritonavir,56,-12.37
model_01_psef_protein,nanchangmycin,15,-12.37
model_01_psef_protein,manidipine,43,-12.33
model_01_psef_protein,PD-173212,58,-12.3
model_01_psef_protein,enzastaurin,55,-12.27
model_01_psef_protein,ASTX660,1,-12.27
model_01_psef_protein,belizatinib,21,-12.26
model_01_psef_protein,SB-743921,99,-12.26
model_01_psef_protein,UNC1215,95,-12.24
model_01_psef_protein,NDT-9513727,48,-12.23
model_01_psef_protein,masitinib,97,-12.23
model_01_psef_protein,CUR-61414,50,-12.21
model_01_psef_protein,lutein,46,-12.21
model_01_psef_protein,omeprazole-magnesium,60,-12.2
model_01_psef_protein,ibutamoren,76,-12.19
model_01_psef_protein,GSK1562590,50,-12.18
model_01_psef_protein,paritaprevir,51,-12.18
model_01_psef_protein,tilmicosin,54,-12.18
model_01_psef_protein,plicamycin,23,-12.17
model_01_psef_protein,XMD17-109,2,-12.17
model_01_psef_protein,simeprevir,91,-12.17
model_01_psef_protein,anamorelin,37,-12.16
model_01_psef_protein,AT-406,60,-12.15
model_01_psef_protein,azelnidipine,26,-12.15
model_01_psef_protein,quiflapon,41,-12.15
model_01_psef_protein,TG-100801,45,-12.15
model_01_psef_protein,alvespimycin,33,-12.14
model_01_psef_protein,soblidotin,61,-12.14
model_01_psef_protein,sultamicillin,48,-12.11
model_01_psef_protein,nelfinavir,54,-12.1
model_01_psef_protein,CaMKII-IN-1,63,-12.1
model_01_psef_protein,THZ1-R,67,-12.09
model_01_psef_protein,oxytocin,87,-12.08
model_01_psef_protein,piperaquine-phosphate,59,-12.07
model_01_psef_protein,entrectinib,23,-12.06
model_01_psef_protein,niguldipine-(S)-(+),23,-12.06
model_01_psef_protein,revefenacin,79,-12.05
model_01_psef_protein,astaxanthin,35,-12.04
model_01_psef_protein,TAK-220,60,-12.04
model_01_psef_protein,azalomycin-B,21,-12.04
model_01_psef_protein,MK-1775,39,-12.03
model_01_psef_protein,L-694247,22,-12.03
model_01_psef_protein,lasofoxifene,15,-12.03
model_01_psef_protein,S63845,61,-12.03
model_01_psef_protein,C106,19,-12.02
model_01_psef_protein,narlaprevir,5,-12.02
model_01_psef_protein,Z160,83,-12.01
model_01_psef_protein,aurora-a-inhibitor-i,9,-12.01
model_01_psef_protein,coenzyme-Q10,66,-12.0
model_01_psef_protein,pyrotinib,12,-11.97
model_01_psef_protein,pranlukast,73,-11.96
model_01_psef_protein,telithromycin,36,-11.96
model_01_psef_protein,azilsartan-medoxomil,83,-11.96
model_01_psef_protein,rilapladib,34,-11.94
model_01_psef_protein,ergotamine,83,-11.93
model_01_psef_protein,nemiralisib,89,-11.93
model_01_psef_protein,tipifarnib,3,-11.93
model_01_psef_protein,ML786,79,-11.93
model_01_psef_protein,BMS-470539,47,-11.92
model_01_psef_protein,GDC-0152,54,-11.92
model_01_psef_protein,irinotecan,90,-11.92
model_01_psef_protein,ICG-001,51,-11.9
model_01_psef_protein,sitravatinib,4,-11.89
model_01_psef_protein,TW-37,52,-11.89
model_01_psef_protein,fidaxomicin,14,-11.89
model_01_psef_protein,R-428,54,-11.89
model_01_psef_protein,NTNCB,49,-11.85
model_01_psef_protein,GSK269962,32,-11.84
model_01_psef_protein,atosiban,58,-11.82
model_01_psef_protein,selamectin,28,-11.82
model_01_psef_protein,fedratinib,17,-11.82
model_01_psef_protein,BINA,4,-11.81
model_01_psef_protein,IKK-16,3,-11.79
model_01_psef_protein,dihydrotachysterol,50,-11.78
model_01_psef_protein,ARQ-621,14,-11.78
model_01_psef_protein,pyronaridine,72,-11.78
model_01_psef_protein,FK-888,40,-11.77
model_01_psef_protein,BMS-833923,49,-11.77
model_01_psef_protein,THZ1,97,-11.76
model_01_psef_protein,TG-101209,78,-11.76
model_01_psef_protein,pilaralisib,76,-11.76
model_01_psef_protein,bafetinib,49,-11.75
model_01_psef_protein,pipotiazine-palmitate,76,-11.75
model_01_psef_protein,pexmetinib,35,-11.75
model_01_psef_protein,UNC1999,10,-11.74
model_01_psef_protein,atazanavir,55,-11.74
model_01_psef_protein,JDTic,52,-11.74
model_01_psef_protein,HKI-357,26,-11.73
model_01_psef_protein,cefotiam-cilexetil,21,-11.73
model_01_psef_protein,TBOA-(DL),75,-11.73
model_01_psef_protein,L-755507,100,-11.71
model_01_psef_protein,ceritinib,15,-11.71
model_01_psef_protein,dalfopristin,88,-11.71
model_01_psef_protein,PF-03084014,76,-11.71
model_01_psef_protein,succinobucol,45,-11.7
model_01_psef_protein,CGP-71683,39,-11.69
model_01_psef_protein,cot-inhibitor-1,83,-11.68
model_01_psef_protein,inositol-hexanicotinate,41,-11.67
model_01_psef_protein,A-674563,4,-11.67
model_01_psef_protein,AY-9944,80,-11.67
model_01_psef_protein,ciaftalan-zinc,3,-11.67
model_01_psef_protein,terfenadine,68,-11.66
model_01_psef_protein,IRL-2500,21,-11.66
model_01_psef_protein,dolastatin-10,50,-11.66
model_01_psef_protein,asunaprevir,78,-11.65
model_01_psef_protein,elacridar,8,-11.65
model_01_psef_protein,hypericin,20,-11.65
model_01_psef_protein,derazantinib,64,-11.64
model_01_psef_protein,tocofersolan,27,-11.64
model_01_psef_protein,MCOPPB,23,-11.63
model_01_psef_protein,lidoflazine,14,-11.63
model_01_psef_protein,flumatinib,82,-11.63
model_01_psef_protein,lurasidone,26,-11.63
model_01_psef_protein,ispinesib,57,-11.62
model_01_psef_protein,bemotrizinol,100,-11.62
model_01_psef_protein,saracatinib,68,-11.62
model_01_psef_protein,ebastine,47,-11.6
model_01_psef_protein,sparsentan,93,-11.6
model_01_psef_protein,LRRK2-IN-1,28,-11.59
model_01_psef_protein,capromorelin,67,-11.59
model_01_psef_protein,CEP-33779,31,-11.59
model_01_psef_protein,dihydroergotamine,38,-11.58
model_01_psef_protein,WAY-600,26,-11.57
model_01_psef_protein,sisomicin,90,-11.57
model_01_psef_protein,vitamin-E,5,-11.56
model_01_psef_protein,SRT1720,10,-11.56
model_01_psef_protein,GSK923295,59,-11.56
model_01_psef_protein,solithromycin,13,-11.56
