epoch,step,train_loss_epoch,train_loss_step,val/roc,val_loss
0,23,,,0.7021987438201904,0.6561834216117859
0,23,0.8567511439323425,,,
1,47,,,0.7776967883110046,0.5570691823959351
1,47,0.3921601474285126,,,
2,49,,0.2238100916147232,,
2,71,,,0.7867468595504761,0.5444510579109192
2,71,0.23379909992218018,,,
3,95,,,0.7681001424789429,0.5953283309936523
3,95,0.12902338802814484,,,
4,99,,0.07737187296152115,,
4,119,,,0.7772108912467957,0.6376727223396301
4,119,0.07852290570735931,,,
5,143,,,0.7865038514137268,0.6579574346542358
5,143,0.047109272330999374,,,
6,149,,0.014541154727339745,,
6,167,,,0.7863823771476746,0.7259346842765808
6,167,0.03247394785284996,,,
7,191,,,0.7826166152954102,0.7520685195922852
7,191,0.022705694660544395,,,
8,199,,0.014448277652263641,,
8,215,,,0.7879616022109985,0.783776581287384
8,215,0.016186073422431946,,,
9,239,,,0.7809159159660339,0.823890209197998
9,239,0.014264078810811043,,,
10,249,,0.01055784523487091,,
10,263,,,0.7752065062522888,0.8332127928733826
10,263,0.010515034198760986,,,
11,287,,,0.7759960889816284,0.8917333483695984
11,287,0.007932906970381737,,,
12,299,,0.004495762288570404,,
12,311,,,0.7771501541137695,0.8758487701416016
12,311,0.006134788040071726,,,
13,335,,,0.7744169235229492,0.9100623726844788
13,335,0.005373633932322264,,,
14,349,,0.00590827502310276,,
14,359,,,0.7741132378578186,0.9096498489379883
14,359,0.004130458924919367,,,
15,383,,,0.7750242948532104,0.9429359436035156
15,383,0.005234894342720509,,,
16,399,,0.0027172169648110867,,
16,407,,,0.7726554870605469,0.9311122298240662
16,407,0.0030677870381623507,,,
17,431,,,0.7740524411201477,0.9591989517211914
17,431,0.003164212917909026,,,
18,449,,0.0048216283321380615,,
18,455,,,0.7764819860458374,0.9577719569206238
18,455,0.0030230842530727386,,,
19,479,,,0.7768464088439941,0.9641233086585999
19,479,0.002947436645627022,,,
20,499,,0.006063499022275209,,
20,503,,,0.7755101919174194,0.9739883542060852
20,503,0.0025237612426280975,,,
21,527,,,0.7749028205871582,0.9794222116470337
21,527,0.0019799252040684223,,,
22,549,,0.0011036721989512444,,
22,551,,,0.774781346321106,0.9951450824737549
22,551,0.001992772566154599,,,
23,575,,,0.7744169235229492,0.9999751448631287
23,575,0.0021196138113737106,,,
24,599,,0.0006462500314228237,,
24,599,,,0.773809552192688,1.0000699758529663
24,599,0.0015935810515657067,,,
25,623,,,0.7749635577201843,1.014449119567871
25,623,0.0017373947193846107,,,
26,647,,,0.7736272811889648,1.0138092041015625
26,647,0.0014963083667680621,,,
27,649,,0.002567416988313198,,
27,671,,,0.774295449256897,1.0227106809616089
27,671,0.001476694131270051,,,
28,695,,,0.7735058069229126,1.0262043476104736
28,695,0.001488128793425858,,,
29,699,,0.002051247749477625,,
29,719,,,0.7740525007247925,1.031878113746643
29,719,0.0013867560774087906,,,
30,743,,,0.7741739749908447,1.040675163269043
30,743,0.0016790135996416211,,,
31,749,,0.0011764371301978827,,
31,767,,,0.7738398909568787,1.0363492965698242
31,767,0.0014644875191152096,,,
32,791,,,0.7727769613265991,1.0374730825424194
32,791,0.001233737450093031,,,
33,799,,0.0010604134295135736,,
33,815,,,0.773323655128479,1.0522912740707397
33,815,0.0012748070294037461,,,
34,839,,,0.7732021808624268,1.0506449937820435
34,839,0.001166665111668408,,,
35,849,,0.0011854864424094558,,
35,863,,,0.7726554870605469,1.0572255849838257
35,863,0.0016070405254140496,,,
36,887,,,0.7725947499275208,1.0564979314804077
36,887,0.0011097966926172376,,,
37,899,,0.001191051211208105,,
37,911,,,0.7728984355926514,1.0635924339294434
37,911,0.0012099470477551222,,,
38,935,,,0.7730806469917297,1.0651365518569946
38,935,0.0010811089305207133,,,
39,949,,0.000873483601026237,,
39,959,,,0.7726554870605469,1.0699553489685059
39,959,0.0011500166729092598,,,
40,983,,,0.7730806469917297,1.0696032047271729
40,983,0.001107793883420527,,,
41,999,,0.0010198986856266856,,
41,1007,,,0.7724125385284424,1.0733821392059326
41,1007,0.0010914773447439075,,,
42,1031,,,0.7721695899963379,1.0761051177978516
42,1031,0.0009714166517369449,,,
43,1049,,0.0012347169686108828,,
43,1055,,,0.772716224193573,1.0813177824020386
43,1055,0.0010776995914056897,,,
44,1079,,,0.772230327129364,1.0810620784759521
44,1079,0.0009971711551770568,,,
45,1099,,0.0008677704026922584,,
45,1103,,,0.7720481157302856,1.084493637084961
45,1103,0.0010079616913571954,,,
46,1127,,,0.7719873785972595,1.0853843688964844
46,1127,0.0008602170855738223,,,
47,1149,,0.0013577097561210394,,
47,1151,,,0.7718659043312073,1.089937448501587
47,1151,0.0010667204624041915,,,
48,1175,,,0.7718659043312073,1.089321494102478
48,1175,0.000970525958109647,,,
49,1199,,0.000988910673186183,,
49,1199,,,0.7719266414642334,1.0906016826629639
49,1199,0.0008662592153996229,,,
