epoch,step,train_loss_epoch,train_loss_step,val/roc,val_loss
0,49,,0.4624141454696655,,
0,99,,0.3478991985321045,,
0,124,,,0.9128699898719788,0.3490505516529083
0,124,0.45060795545578003,,,
1,149,,0.21575835347175598,,
1,199,,0.37950384616851807,,
1,249,,0.4785641133785248,,
1,249,,,0.9067351818084717,0.3590030372142792
1,249,0.24305476248264313,,,
2,299,,0.17226433753967285,,
2,349,,0.07358711957931519,,
2,374,,,0.9127495288848877,0.40308818221092224
2,374,0.13414640724658966,,,
3,399,,0.04396127536892891,,
3,449,,0.03945968672633171,,
3,499,,0.07951045781373978,,
3,499,,,0.9171470403671265,0.4577466547489166
3,499,0.05965711921453476,,,
4,549,,0.03802521899342537,,
4,599,,0.010659720748662949,,
4,624,,,0.9170361161231995,0.5046894550323486
4,624,0.027278419584035873,,,
5,649,,0.00476494338363409,,
5,699,,0.008805656805634499,,
5,749,,0.027960363775491714,,
5,749,,,0.9155012369155884,0.537824273109436
5,749,0.012464485131204128,,,
6,799,,0.004013266414403915,,
6,849,,0.0034604226239025593,,
6,874,,,0.9165662527084351,0.5536500215530396
6,874,0.009495236910879612,,,
7,899,,0.004009169992059469,,
7,949,,0.003222355619072914,,
7,999,,0.0008846670389175415,,
7,999,,,0.9162987470626831,0.5731707811355591
7,999,0.006991084665060043,,,
8,1049,,0.003093043342232704,,
8,1099,,0.02180512621998787,,
8,1124,,,0.9168819189071655,0.5859858393669128
8,1124,0.004553552251309156,,,
9,1149,,0.002734905108809471,,
9,1199,,0.004276322666555643,,
9,1249,,0.00516395503655076,,
9,1249,,,0.9164119958877563,0.5995290279388428
9,1249,0.004056538455188274,,,
10,1299,,0.0010105152614414692,,
10,1349,,0.0005889453459531069,,
10,1374,,,0.9168047904968262,0.6105570197105408
10,1374,0.0032498431392014027,,,
11,1399,,0.0015280310763046145,,
11,1449,,0.0035147471353411674,,
11,1499,,0.00034079578472301364,,
11,1499,,,0.9169036149978638,0.621059775352478
11,1499,0.0027677619364112616,,,
12,1549,,0.0007185477297753096,,
12,1599,,0.0018616579473018646,,
12,1624,,,0.9168241024017334,0.629163920879364
12,1624,0.0026096266228705645,,,
13,1649,,0.0011742726201191545,,
13,1699,,0.0014010772574692965,,
13,1749,,0.001472011674195528,,
13,1749,,,0.9169156551361084,0.6362782716751099
13,1749,0.0023224076721817255,,,
14,1799,,0.0008335285820066929,,
14,1849,,0.0013016917509958148,,
14,1874,,,0.9167951941490173,0.6427578926086426
14,1874,0.002037500496953726,,,
15,1899,,0.0011134964879602194,,
15,1949,,0.0009046540944837034,,
15,1999,,0.0021286215633153915,,
15,1999,,,0.917019248008728,0.6501888632774353
15,1999,0.001902997842989862,,,
16,2049,,0.012455153279006481,,
16,2099,,0.0015307711437344551,,
16,2124,,,0.9168288707733154,0.6553604006767273
16,2124,0.0017957568634301424,,,
17,2149,,0.0009689644211903214,,
17,2199,,0.0008368776179850101,,
17,2249,,0.0008956189849413931,,
17,2249,,,0.916922926902771,0.6594758629798889
17,2249,0.0017238878645002842,,,
18,2299,,0.0010769444052129984,,
18,2349,,0.0005106134340167046,,
18,2374,,,0.9168192744255066,0.6636788845062256
18,2374,0.0015998311573639512,,,
19,2399,,0.010501058772206306,,
19,2449,,0.0007633656496182084,,
19,2499,,0.0034929236862808466,,
19,2499,,,0.9167590737342834,0.6672045588493347
19,2499,0.0015369957545772195,,,
