epoch,step,train_loss_epoch,train_loss_step,val/roc,val_loss
0,49,,0.379395455121994,,
0,99,,0.3166930079460144,,
0,124,,,0.9274044632911682,0.3200519382953644
0,124,0.42161309719085693,,,
1,149,,0.14356066286563873,,
1,199,,0.29736801981925964,,
1,249,,0.5024072527885437,,
1,249,,,0.9174143671989441,0.3436564803123474
1,249,0.2215508073568344,,,
2,299,,0.17517684400081635,,
2,349,,0.058554381132125854,,
2,374,,,0.9220215082168579,0.39033398032188416
2,374,0.12617865204811096,,,
3,399,,0.04707351326942444,,
3,449,,0.034058649092912674,,
3,499,,0.04731699079275131,,
3,499,,,0.9227034449577332,0.4664055109024048
3,499,0.05452941358089447,,,
4,549,,0.048649340867996216,,
4,599,,0.009560834616422653,,
4,624,,,0.9214481115341187,0.5219944715499878
4,624,0.0247965008020401,,,
5,649,,0.004061383195221424,,
5,699,,0.012963523156940937,,
5,749,,0.014029537327587605,,
5,749,,,0.9189276099205017,0.5611696243286133
5,749,0.011945790611207485,,,
6,799,,0.0031455508433282375,,
6,849,,0.003185927402228117,,
6,874,,,0.9201323986053467,0.5771430730819702
6,874,0.008714734576642513,,,
7,899,,0.0033422347623854876,,
7,949,,0.0026185037568211555,,
7,999,,0.00015733865438960493,,
7,999,,,0.9202746152877808,0.6039307117462158
7,999,0.006962777115404606,,,
8,1049,,0.0029215991962701082,,
8,1099,,0.011661452241241932,,
8,1124,,,0.920961320400238,0.6137312054634094
8,1124,0.004518854897469282,,,
9,1149,,0.0031996355392038822,,
9,1199,,0.004432210233062506,,
9,1249,,0.005657723173499107,,
9,1249,,,0.9207155704498291,0.6278338432312012
9,1249,0.003626650432124734,,,
10,1299,,0.0007995408959686756,,
10,1349,,0.0004939023638144135,,
10,1374,,,0.9208191633224487,0.6400536894798279
10,1374,0.0029963103588670492,,,
11,1399,,0.0011251901742070913,,
11,1449,,0.0044079795479774475,,
11,1499,,0.00025354951503686607,,
11,1499,,,0.9209710359573364,0.6495494246482849
11,1499,0.002551573794335127,,,
12,1549,,0.0005999348359182477,,
12,1599,,0.0012426013126969337,,
12,1624,,,0.9211058616638184,0.6578876972198486
12,1624,0.0025315911043435335,,,
13,1649,,0.0008972915820777416,,
13,1699,,0.0013192703481763601,,
13,1749,,0.0009552916744723916,,
13,1749,,,0.9211227893829346,0.6650930643081665
13,1749,0.002218681387603283,,,
14,1799,,0.0007764011388644576,,
14,1849,,0.001134649501182139,,
14,1874,,,0.9212214946746826,0.6715413331985474
14,1874,0.001867669983766973,,,
15,1899,,0.0010821479372680187,,
15,1949,,0.000685531587805599,,
15,1999,,0.0007128583965823054,,
15,1999,,,0.9212167263031006,0.6778891086578369
15,1999,0.001749861054122448,,,
16,2049,,0.0023621234577149153,,
16,2099,,0.0012471728259697556,,
16,2124,,,0.9211758375167847,0.6830072999000549
16,2124,0.0016305511817336082,,,
17,2149,,0.0010280305286869407,,
17,2199,,0.0007550663431175053,,
17,2249,,0.0007040965720079839,,
17,2249,,,0.921209454536438,0.6883959174156189
17,2249,0.001537291333079338,,,
18,2299,,0.0007088730344548821,,
18,2349,,0.0005385442636907101,,
18,2374,,,0.9212166666984558,0.6914054751396179
18,2374,0.0014303851639851928,,,
19,2399,,0.010366786271333694,,
19,2449,,0.0005961665883660316,,
19,2499,,0.0024458838161081076,,
19,2499,,,0.9212071299552917,0.6952043175697327
19,2499,0.0014099011896178126,,,
