Protein,Ligand,Best Run,Binding Energy (kcal/mol)
model_01_psef_protein,acriflavine,41,-18.13
model_01_psef_protein,semapimod,25,-16.07
model_01_psef_protein,pralmorelin,91,-14.96
model_01_psef_protein,SSR240612,17,-14.62
model_01_psef_protein,venetoclax,99,-14.47
model_01_psef_protein,navitoclax,4,-14.4
model_01_psef_protein,antagonist-g,24,-14.36
model_01_psef_protein,AZD5582,85,-14.3
model_01_psef_protein,caspofungin,97,-14.19
model_01_psef_protein,BIBN4096,10,-14.17
model_01_psef_protein,octreotide,89,-14.14
model_01_psef_protein,examorelin,33,-14.09
model_01_psef_protein,pasireotide,1,-13.9
model_01_psef_protein,cobicistat,86,-13.9
model_01_psef_protein,KN-62,99,-13.88
model_01_psef_protein,birinapant,23,-13.84
model_01_psef_protein,U-75799E,7,-13.83
model_01_psef_protein,batefenterol,89,-13.78
model_01_psef_protein,felypressin,54,-13.77
model_01_psef_protein,HP-228,4,-13.62
model_01_psef_protein,saquinavir,5,-13.62
model_01_psef_protein,m-THP,71,-13.53
model_01_psef_protein,bisoctrizole,50,-13.49
model_01_psef_protein,deltarasin,39,-13.41
model_01_psef_protein,fucoxanthin,52,-13.41
model_01_psef_protein,secoisolariciresinol-diglucoside,5,-13.4
model_01_psef_protein,UNC0631,34,-13.4
model_01_psef_protein,indinavir,87,-13.37
model_01_psef_protein,GSK2193874,3,-13.29
model_01_psef_protein,valnemulin,18,-13.26
model_01_psef_protein,WIN-64338,29,-13.18
model_01_psef_protein,gambogic-acid,62,-13.18
model_01_psef_protein,PD-173212,19,-13.15
model_01_psef_protein,GSK1904529A,63,-13.09
model_01_psef_protein,vasopressin,1,-13.08
model_01_psef_protein,temoporfin,96,-13.06
model_01_psef_protein,UNC1215,73,-13.06
model_01_psef_protein,LY2510924,82,-13.0
model_01_psef_protein,melanotan-ii,7,-12.96
model_01_psef_protein,terlipressin,47,-12.92
model_01_psef_protein,UNC0646,39,-12.91
model_01_psef_protein,coenzyme-Q10,6,-12.91
model_01_psef_protein,DPC-681,34,-12.9
model_01_psef_protein,irganox-1010,82,-12.9
model_01_psef_protein,ABT-737,83,-12.89
model_01_psef_protein,rilapladib,45,-12.88
model_01_psef_protein,ciluprevir,81,-12.88
model_01_psef_protein,pipotiazine-palmitate,20,-12.88
model_01_psef_protein,AZ505,85,-12.86
model_01_psef_protein,danoprevir,80,-12.86
model_01_psef_protein,CaMKII-IN-1,43,-12.85
model_01_psef_protein,suramin,44,-12.83
model_01_psef_protein,HPPH,23,-12.82
model_01_psef_protein,TBOA-_DL_,63,-12.8
model_01_psef_protein,paritaprevir,42,-12.78
model_01_psef_protein,retapamulin,99,-12.78
model_01_psef_protein,setmelanotide,36,-12.77
model_01_psef_protein,adavivint,94,-12.76
model_01_psef_protein,BIO-5192,72,-12.73
model_01_psef_protein,AMG-548,15,-12.73
model_01_psef_protein,thaliblastine,6,-12.72
model_01_psef_protein,amcasertib,54,-12.71
model_01_psef_protein,lapatinib,18,-12.67
model_01_psef_protein,nemiralisib,4,-12.66
model_01_psef_protein,AM679,66,-12.62
model_01_psef_protein,manidipine,14,-12.6
model_01_psef_protein,revefenacin,44,-12.59
model_01_psef_protein,SM-164,69,-12.57
model_01_psef_protein,candesartan-cilexetil,34,-12.57
model_01_psef_protein,anamorelin,49,-12.55
model_01_psef_protein,UK-356618,15,-12.52
model_01_psef_protein,carfilzomib,93,-12.51
model_01_psef_protein,GSK2190915,30,-12.49
model_01_psef_protein,dexniguldipine,75,-12.49
model_01_psef_protein,squalamine,30,-12.48
model_01_psef_protein,SR-140333,83,-12.45
model_01_psef_protein,IRL-2500,92,-12.43
model_01_psef_protein,TG-100801,58,-12.43
model_01_psef_protein,plerixafor,7,-12.43
model_01_psef_protein,L-368899,18,-12.4
model_01_psef_protein,elacridar,14,-12.4
model_01_psef_protein,nelfinavir,99,-12.39
model_01_psef_protein,FK-888,50,-12.38
model_01_psef_protein,montelukast,44,-12.36
model_01_psef_protein,proglumetacin,50,-12.36
model_01_psef_protein,niguldipine-_R_-_-_,60,-12.36
model_01_psef_protein,GW-583340,40,-12.35
model_01_psef_protein,BMS-470539,26,-12.35
model_01_psef_protein,S63845,61,-12.34
model_01_psef_protein,enzastaurin,21,-12.32
model_01_psef_protein,CGP-71683,25,-12.32
model_01_psef_protein,KRCA-0008,67,-12.31
model_01_psef_protein,THZ2,43,-12.3
model_01_psef_protein,zafirlukast,26,-12.3
model_01_psef_protein,lypressin,69,-12.29
model_01_psef_protein,KB-SRC-4,31,-12.29
model_01_psef_protein,HER2-Inhibitor-1,16,-12.28
model_01_psef_protein,eluxadoline,88,-12.26
model_01_psef_protein,carbetocin,15,-12.24
model_01_psef_protein,R-428,68,-12.24
model_01_psef_protein,SNAP-5089,10,-12.23
model_01_psef_protein,NDT-9513727,41,-12.23
model_01_psef_protein,astaxanthin,84,-12.23
model_01_psef_protein,dihydroergocristine,31,-12.22
model_01_psef_protein,digitoxin,66,-12.2
model_01_psef_protein,trodusquemine,2,-12.2
model_01_psef_protein,ceritinib,83,-12.16
model_01_psef_protein,dihydrostreptomycin,47,-12.14
model_01_psef_protein,ispinesib,80,-12.13
model_01_psef_protein,GSK2838232,62,-12.1
model_01_psef_protein,GDC-0152,17,-12.09
model_01_psef_protein,ibutamoren,15,-12.07
model_01_psef_protein,IKK-16,29,-12.07
model_01_psef_protein,vaniprevir,80,-12.06
model_01_psef_protein,aclarubicin,5,-12.06
model_01_psef_protein,WAY-207024,80,-12.06
model_01_psef_protein,ML193,41,-12.06
model_01_psef_protein,ARQ-621,72,-12.05
model_01_psef_protein,inositol-hexanicotinate,83,-12.05
model_01_psef_protein,L-755507,71,-12.05
model_01_psef_protein,narasin,59,-12.05
model_01_psef_protein,SU11274,94,-12.04
model_01_psef_protein,elbasvir,45,-12.03
model_01_psef_protein,lopinavir,34,-12.02
model_01_psef_protein,L-694247,60,-12.01
model_01_psef_protein,BIO-1211,12,-12.01
model_01_psef_protein,narlaprevir,46,-12.01
model_01_psef_protein,TC-OT-39,45,-12.01
model_01_psef_protein,quiflapon,57,-11.99
model_01_psef_protein,ASTX660,54,-11.98
model_01_psef_protein,telaprevir,97,-11.97
model_01_psef_protein,BMS-833923,90,-11.97
model_01_psef_protein,JD-5037,39,-11.97
model_01_psef_protein,chlorhexidine,99,-11.96
model_01_psef_protein,golvatinib,85,-11.96
model_01_psef_protein,dolastatin-10,75,-11.95
model_01_psef_protein,colistin,42,-11.94
model_01_psef_protein,doramapimod,60,-11.93
model_01_psef_protein,tariquidar,95,-11.92
model_01_psef_protein,nintedanib,38,-11.92
model_01_psef_protein,ritonavir,69,-11.92
model_01_psef_protein,GSK1562590,97,-11.91
model_01_psef_protein,A-674563,78,-11.91
model_01_psef_protein,purmorphamine,8,-11.9
model_01_psef_protein,succinobucol,43,-11.9
model_01_psef_protein,MCOPPB,87,-11.89
model_01_psef_protein,asunaprevir,17,-11.89
model_01_psef_protein,darapladib,3,-11.88
model_01_psef_protein,simeprevir,77,-11.88
model_01_psef_protein,gonadorelin,51,-11.87
model_01_psef_protein,EPZ005687,66,-11.87
model_01_psef_protein,lomitapide,41,-11.86
model_01_psef_protein,sufugolix,64,-11.86
model_01_psef_protein,spiramycin,32,-11.86
model_01_psef_protein,PHA-665752,65,-11.85
model_01_psef_protein,RV1729,8,-11.84
model_01_psef_protein,sparsentan,96,-11.82
model_01_psef_protein,AMG900,71,-11.8
model_01_psef_protein,LGD-6972,1,-11.8
model_01_psef_protein,cot-inhibitor-1,46,-11.8
model_01_psef_protein,NVP-BSK805,87,-11.8
model_01_psef_protein,EPZ020411,68,-11.8
model_01_psef_protein,PF-03084014,92,-11.77
model_01_psef_protein,aurora-a-inhibitor-i,17,-11.77
model_01_psef_protein,foretinib,66,-11.77
model_01_psef_protein,indocyanine-green,66,-11.76
model_01_psef_protein,capromorelin,52,-11.76
model_01_psef_protein,dioscin,32,-11.75
model_01_psef_protein,SRT1720,88,-11.75
model_01_psef_protein,SDZ-NKT-343,81,-11.75
model_01_psef_protein,HKI-357,14,-11.74
model_01_psef_protein,lercanidipine,12,-11.74
model_01_psef_protein,doramectin,67,-11.74
model_01_psef_protein,ombitasvir,82,-11.74
model_01_psef_protein,glecaprevir,98,-11.73
model_01_psef_protein,HM-30181,76,-11.73
model_01_psef_protein,siramesine,57,-11.72
model_01_psef_protein,JDTic,82,-11.71
model_01_psef_protein,LY2608204,65,-11.7
model_01_psef_protein,NMS-P715,43,-11.7
model_01_psef_protein,bemotrizinol,99,-11.7
model_01_psef_protein,terfenadine,60,-11.69
model_01_psef_protein,atracurium,10,-11.69
model_01_psef_protein,maraviroc,42,-11.68
model_01_psef_protein,THZ1-R,2,-11.68
model_01_psef_protein,lazertinib,90,-11.68
model_01_psef_protein,gentamycin,44,-11.68
model_01_psef_protein,cefpiramide,12,-11.68
model_01_psef_protein,BX-795,38,-11.67
model_01_psef_protein,pranlukast,32,-11.67
model_01_psef_protein,sitravatinib,54,-11.67
model_01_psef_protein,hemin,35,-11.67
model_01_psef_protein,L-161982,96,-11.67
model_01_psef_protein,MK-0893,30,-11.67
model_01_psef_protein,pacritinib,21,-11.66
model_01_psef_protein,uki-1,48,-11.66
model_01_psef_protein,WAY-170523,42,-11.66
model_01_psef_protein,digoxin,80,-11.65
model_01_psef_protein,KM-0118,63,-11.65
model_01_psef_protein,pyrotinib,67,-11.65
model_01_psef_protein,KU-60019,28,-11.64
model_01_psef_protein,fedratinib,62,-11.64
model_01_psef_protein,GDC-0834,23,-11.64
model_01_psef_protein,pyronaridine,48,-11.64
model_01_psef_protein,tabimorelin,12,-11.63
model_01_psef_protein,ziritaxestat,56,-11.63
model_01_psef_protein,pexmetinib,4,-11.61
model_01_psef_protein,ciaftalan-zinc,1,-11.61
model_01_psef_protein,ebastine,74,-11.61
model_01_psef_protein,piperaquine-phosphate,63,-11.61
model_01_psef_protein,larazotide-acetate,63,-11.61
model_01_psef_protein,icatibant-acetate,8,-11.6
model_01_psef_protein,bremelanotide,46,-11.6
model_01_psef_protein,ARQ-092,2,-11.59
model_01_psef_protein,UNC1999,95,-11.58
model_01_psef_protein,PRN1008,7,-11.58
model_01_psef_protein,AVE-0991,86,-11.58
model_01_psef_protein,cinaciguat,29,-11.58
model_01_psef_protein,ML786,53,-11.58
model_01_psef_protein,decamethoxine,92,-11.57
model_01_psef_protein,AC-55541,35,-11.57
model_01_psef_protein,deforolimus,20,-11.57
model_01_psef_protein,aripiprazole-lauroxil,1,-11.56
model_01_psef_protein,cefotiam-cilexetil,16,-11.55
model_01_psef_protein,bivalirudin,87,-11.55
model_01_psef_protein,upamostat,5,-11.55
model_01_psef_protein,omeprazole-magnesium,10,-11.55
model_01_psef_protein,pilaralisib,94,-11.54
model_01_psef_protein,NTNCB,72,-11.54
model_01_psef_protein,ornipressin,18,-11.54
model_01_psef_protein,tazemetostat,20,-11.53
model_01_psef_protein,polymyxin-B-sulfate,29,-11.53
model_01_psef_protein,CUDC-427,83,-11.53
model_01_psef_protein,CP-640186,12,-11.52
model_01_psef_protein,tipifarnib,27,-11.52
model_01_psef_protein,PF-477736,4,-11.51
model_01_psef_protein,solithromycin,65,-11.51
model_01_psef_protein,avitinib,7,-11.51
model_01_psef_protein,fenoverine,20,-11.5
model_01_psef_protein,ZCL-278,73,-11.5
model_01_psef_protein,lutein,15,-11.49
model_01_psef_protein,rimegepant,7,-11.49
