smiles,pert_iname,broad_id,activity_model_0,activity_model_1,activity_model_2,activity_model_3,activity_model_4,activity_model_5,activity_model_6,activity_model_7,activity_model_8,activity_model_9
Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)Nc1ccc(OCCOCCOCCOCCNc3cccc4C(=O)N([C@H]5CCC(=O)NC5=O)C(=O)c34)cc1)c1nnc(C)n-21)c1ccc(Cl)cc1,ARV-825,BRD-A00047421-001-01-7,0.16152853,0.8055363,0.24749583,0.6992811,0.3697404,0.14651962,0.4055298,0.028472284,0.26305482,0.045172535
C[C@@H](NC(=O)[C@H]1CSCN1C(=O)c1ccccc1)c1ccccc1,3-benzoyl-n-(1-phenylethyl)thiazolidine-4-carboxamide,BRD-A00055058-001-01-0,0.0019243814,0.0025712913,0.01653089,0.075133234,0.03710621,0.05134912,0.007957078,0.0053872955,0.003998772,0.035704266
Nc1nc(=O)c2nc(Br)n([C@@H]3O[C@@H]4CO[P@](O)(=O)O[C@H]4[C@H]3O)c2[nH]1,8-bromo-cGMP,BRD-A00077618-236-07-6,0.9446659,0.99937266,0.99997246,0.9987998,0.9999981,0.9999498,0.9974981,0.99906236,0.99911577,0.99718887
CCCC[C@@H](CC)COC(=O)C[C@@H](C(=O)OC[C@@H](CC)CCCC)S(O)(=O)=O,docusate,BRD-A00092689-236-03-8,0.055551875,0.48783183,0.09722561,0.34045914,0.5363707,0.24033773,0.38587692,0.62722623,0.41878766,0.6835816
CC1CS(=O)(=O)CCN1N=Cc1ccc(o1)[N+]([O-])=O,nifurtimox,BRD-A00100033-001-08-9,0.9730535,0.9943053,0.997547,0.99414945,0.99422896,0.9712612,0.9808412,0.98675424,0.98931956,0.9844558
Cn1c(COc2ccc(C[C@H]3SC(=O)NC3=O)cc2)nc2ccccc2c1=O,balaglitazone,BRD-A00147595-001-01-5,0.07443457,0.0239077,0.01857267,0.035849106,0.051098607,0.11108135,0.047257207,0.01764567,0.12335979,0.09810581
Fc1ccc(cc1)C(c1ccccc1)(c1ccccc1F)n1ccnc1,flutrimazole,BRD-A00218260-001-03-4,0.102956176,0.087832265,0.15573432,0.04664724,0.028409088,0.16697817,0.19873308,0.21362086,0.05090459,0.224639
O[C@H]1O[C@@H]2CO[C@@H](O[C@H]2[C@H](O)[C@H]1O)c1ccccc1,KBG,BRD-A00376169-001-01-6,0.115931235,0.22545639,0.21629663,0.13320765,0.08517039,0.22066203,0.12384307,0.51943135,0.0657053,0.30296445
CCN(CC)C[C@H]1CCCCN1CC(=O)N1c2ccccc2C(=O)Nc2cccnc12,otenzepad,BRD-A00520476-001-07-4,0.03273255,0.11644129,0.03626389,0.033964377,0.006462761,0.06702202,0.31852144,0.050452262,0.073940165,0.14124943
OC(CCN1CCCCC1)(C1CC2CC1C=C2)c1ccccc1,biperiden hcl,BRD-A00546892-003-05-5,0.091709405,0.023284443,0.034140367,0.06915205,0.02743257,0.09194988,0.010785168,0.030757314,0.02776523,0.18747841
COc1ccc2CCC[C@@H](C(=O)N(Cc3ccc(cc3)N(C)C)c3ccc(cc3)C(C)C)c2c1,W-54011,BRD-A00559310-003-01-1,0.08467566,0.35001186,0.060572207,0.09745446,0.1596846,0.12505913,0.10716764,0.08149226,0.15723117,0.10791143
C[C@@H](C(O)=O)c1ccc2Sc3ccccc3C(=O)Cc2c1,zaltoprofen,BRD-A00578795-001-04-3,0.032896973,0.037862293,0.114325225,0.039215967,0.078982495,0.2912371,0.09213921,0.04300929,0.035685983,0.099571064
